,Gender,Age,hours_studied,economic_stutus,mothers_education,fathers_education,result
219,1,22,3.0,2,2,3,3.25
220,1,22,2.5,3,3,3,3.25
221,1,22,3.0,2,0,2,2.75
222,0,19,4.0,2,1,3,3.75
224,1,19,4.0,0,1,0,3.75
225,1,19,4.0,1,1,1,4.0
226,1,22,2.5,1,1,1,2.5
227,1,19,2.5,2,3,3,3.75
228,0,19,2.5,2,1,1,3.75
229,1,22,4.0,1,1,2,3.5
230,0,19,3.0,1,1,2,3.75
231,1,22,4.0,2,1,3,4.0
232,1,22,2.5,1,1,3,4.0
233,0,19,4.5,2,1,2,3.75
234,1,22,3.0,1,3,3,3.75
235,1,22,4.0,1,2,3,3.0
236,1,25,4.5,1,2,2,3.75
237,1,22,4.0,1,3,3,3.75
238,1,19,4.0,0,0,0,4.0
239,1,22,3.0,1,3,3,3.75
240,1,22,3.0,0,3,3,3.25
241,1,25,4.5,2,1,2,4.0
242,1,25,3.0,2,3,3,3.0
243,0,22,3.0,2,2,3,4.0
244,1,22,3.0,1,1,2,3.75
245,1,25,4.0,2,3,3,4.0
246,1,22,4.0,1,2,3,3.5
247,1,19,3.0,2,3,3,3.75
248,1,22,3.0,1,3,3,2.0
249,1,22,3.0,2,3,3,3.75
250,1,25,4.5,1,2,1,3.25
251,1,19,4.5,2,3,2,4.0
252,0,19,4.0,2,1,1,3.25
253,0,22,4.5,1,0,0,3.5
254,0,19,4.0,1,2,1,3.75
255,0,22,4.0,2,1,2,3.5
256,0,22,3.0,2,2,2,3.75
257,1,28,4.0,2,2,2,3.25
258,0,22,3.0,1,2,3,3.25
260,0,22,3.0,2,1,2,3.75
261,0,15,4.5,2,3,3,4.0
262,1,22,3.0,1,1,1,4.0
264,1,22,2.5,2,2,3,3.75
265,1,25,4.5,0,1,2,3.25
266,1,19,3.0,1,2,2,3.75
267,1,25,4.0,1,2,2,3.75
268,1,28,3.0,0,0,0,2.75
269,1,22,4.5,2,2,1,3.75
270,0,19,4.0,1,1,2,3.75
271,1,22,3.0,1,0,0,3.0
273,0,22,4.0,2,0,1,3.5
274,1,22,3.0,2,0,0,3.75
275,1,22,4.0,1,1,1,3.5
276,0,19,4.5,2,3,3,3.75
277,1,25,4.0,2,2,3,3.0
278,1,25,3.0,2,1,1,3.25
279,1,25,4.0,1,1,3,3.75
281,1,25,3.0,1,2,3,3.75
286,1,22,4.0,2,3,3,3.75
287,1,19,3.0,0,1,2,3.5
288,1,25,3.5,2,3,3,4.0
289,1,22,3.0,2,2,1,3.75
290,0,19,2.5,3,3,3,0.0
291,1,22,4.5,1,2,3,3.75
292,1,22,3.0,2,1,0,2.75
293,1,22,3.0,1,1,3,3.75
294,0,22,3.5,2,2,3,3.75
295,1,22,4.0,1,0,1,2.75
296,1,22,2.5,2,2,3,3.5
297,1,22,4.0,1,1,1,3.5
298,1,22,3.0,1,2,2,3.75
299,1,22,4.0,1,1,1,2.75
300,1,22,4.0,2,3,3,3.0
301,1,22,4.0,1,3,3,3.0
302,1,22,4.5,2,0,0,3.75
303,1,22,4.0,1,1,2,3.75
304,1,22,3.0,1,3,3,4.0
305,1,22,4.5,2,2,3,3.75
306,1,22,3.0,2,2,1,3.75
307,1,22,3.0,2,2,3,3.25
308,1,22,4.0,1,1,2,3.25
309,1,22,3.0,2,2,3,4.0
310,1,19,4.0,2,3,3,3.75
311,1,19,4.0,0,3,3,3.75
312,0,19,4.0,1,3,3,4.0
313,0,19,3.0,1,2,3,3.5
314,1,22,3.0,1,3,3,3.75
315,1,22,4.5,2,2,3,4.0
316,1,19,4.5,1,2,3,4.0
317,0,19,4.0,2,3,1,3.25
